10192 84412
10312 83334
10350 82775
10350 82493
10392 82106
10446 81749
10474 81576
10506 81432
10506 81418
10536 81322
10554 81299
10562 81330
10626 81163
10782 80527
10820 80355
10850 80241
10850 80238
10892 80095
10924 79981
10978 79808
11002 79769
11052 79630
11052 79667
11066 79677
11098 79627
11120 79604
11154 79533
11918 76442
12026 75582
12026 75187
12088 74610
12132 74146
12180 73698
12212 73337
12346 72605
12444 72033
12470 71757
12522 71405
12522 71256
12564 70975
12590 70763
12648 70454
12738 70050
12798 69765
12838 69564
12866 69419
12866 69374
12914 69173
12978 68921
13242 67970
13444 67226
13502 66972
13552 66754
13552 66706
13590 66543
13678 66220
13740 65992
13878 65532
13918 65395
13940 65324
13940 65323
14050 64985
14050 64998
14152 64689
14228 64474
14390 64002
14446 63870
14446 63906
14522 63709
14568 63610
14610 63529
14774 63079
14890 62792
14940 62701
14980 62642
14980 62697
15042 62569
15042 62620
15228 62140
15276 62061
15328 61970
15328 62023
15372 61953
15448 61791
15558 61528
15572 61536
15662 61329
15712 61231
15750 61169
15782 61124
16566 59014
16566 59011
16730 58572
17056 57729
17152 57483
17292 57123
17458 56698
17458 56689
17526 56516
17586 56365
17618 56287
17852 55709
17912 55563
18084 55146
18142 55009
18142 55011
18202 54873
18228 54818
18260 54749
18400 54427
18512 54171
18594 53986
18594 53994
18658 53854
18710 53742
18786 53575
18830 53486
19162 52733
19296 52445
19344 52351
19378 52290
19410 52234
19410 52249
19454 52168
19552 51973
19592 51909
19592 51932
19662 51802
19702 51739
19762 51633
20022 51096
20108 50941
20108 50969
20192 50818
20262 50701
20332 50584
20466 50338
20516 50270
20574 50187
20574 50226
20698 50009
20756 49929
20756 49968
20828 49856
20882 49782
20940 49702
21124 49370
21198 49263
21272 49157
21272 49198
21354 49074
21450 48924
22174 47545
22268 47403
22268 47439
22358 47303
22432 47198
22480 47143
22676 46812
22764 46687
22764 46725
22830 46640
22908 46535
22926 46541
22966 46509
23088 46328
23166 46230
23166 46272
23248 46165
23306 46102
23356 46053
23432 45963
23514 45862
23568 45813
23568 45858
23814 45474
23918 45340
24126 45026
24212 44925
24212 44971
24464 44591
24560 44480
24650 44381
24702 44346
24702 44397
24760 44351
24832 44281
24908 44206
25056 44012
25148 43912
25148 43962
25234 43871
25462 43548
25676 43251
25724 43222
25848 43070
25848 43115
26308 42431
26412 42310
26604 42053
26664 42001
26664 42041
26744 41955
26806 41897
26854 41860
26958 41738
26984 41734
27040 41684
27040 41717
27116 41635
27198 41544
27368 41322
27430 41262
27506 41183
27506 41214
27578 41138
27644 41072
27786 40896
27902 40760
28004 40643
28004 40676
28070 40611
28176 40491
28260 40402
28472 40131
28560 40039
28560 40072
28624 40012
28680 39966
28716 39947
28820 39834
28912 39737
29586 38837
29586 38864
29808 38589
29890 38504
29982 38406
30084 38296
30252 38101
30286 38083
30354 38020
30374 38017
30416 37986
30416 38009
30464 37969
30570 37853
30620 37809
30680 37752
30680 37773
30810 37623
30956 37452
31010 37403
31192 37187
31470 36851
31470 36870
31532 36808
31706 36607
31786 36523
31834 36480
31894 36422
31894 36440
31948 36389
32538 35675
32716 35471
32810 35369
32810 35381
32928 35251
32986 35193
33118 35048
33220 34938
33278 34881
33390 34761
33390 34773
33464 34697
33494 34674
33660 34490
33726 34425
33816 34332
33998 34132
33998 34144
34072 34069
34138 34005
34298 33833
34380 33751
34380 33764
34460 33685
34624 33508
34700 33435
34740 33404
34740 33416
34824 33335
35618 32453
35846 32211
35936 32124
35936 32136
35988 32090
36058 32025
36150 31937
36346 31735
36430 31656
36592 31493
36592 31506
36644 31463
36714 31399
36914 31198
36990 31131
37064 31066
37236 30898
37324 30819
37324 30833
37414 30752
37512 30664
37642 30541
37840 30350
37840 30366
37928 30289
37988 30242
38046 30198
38248 30005
38366 29901
38498 29782
38498 29800
38588 29725
38658 29670
38772 29572
38850 29511
38944 29433
38944 29450
39004 29407
39080 29349
39242 29204
39334 29129
39334 29148
39862 28642
40026 28499
40248 28300
40298 28270
40298 28289
40368 28237
40478 28149
40678 27975
40850 27828
40962 27739
40962 27758
41116 27647
41300 27490
41402 27413
41512 27329
41512 27347
41632 27253
41686 27221
41900 27040
41998 26968
42078 26912
42078 26930
42134 26896
42286 26776
42338 26747
42440 26673
42440 26692
43222 25997
43502 25765
43582 25711
43630 25686
43670 25667
43746 25618
43746 25636
43832 25577
43908 25527
44170 25314
44198 25306
44238 25288
44238 25307
44354 25222
44500 25110
44592 25049
44662 25005
44720 24972
44720 24989
44784 24949
44984 24794
45088 24723
45174 24665
45174 24682
45248 24634
45306 24602
45488 24464
45894 24138
45998 24066
45998 24083
46098 24015
46296 23866
46346 23842
46434 23785
46674 23603
46674 23619
46830 23507
46928 23444
47084 23332
47152 23293
47266 23217
47266 23234
47380 23158
47624 22976
47714 22921
47844 22832
47956 22759
47956 22775
48100 22676
48228 22591
48436 22441
48536 22379
48604 22342
48604 22359
48656 22334
48868 22184
48938 22145
49146 22001
49170 21999
49256 21948
49422 21836
49510 21786
49554 21767
49660 21703
49660 21720
50414 21160
50756 20918
50888 20836
51006 20764
51006 20781
51112 20718
51230 20647
51448 20501
51512 20470
51590 20429
51590 20445
51664 20406
51728 20376
51868 20289
52102 20133
52196 20083
52388 19959
52584 19833
52704 19763
52810 19704
52810 19721
52910 19665
53000 19616
53406 19343
53548 19259
53672 19188
53794 19119
54344 18749
55056 18273
55120 18282
55120 18301
55188 18273
55296 18218
55468 18118
55544 18086
55600 18066
55600 18086
55650 18070
55824 17970
55922 17922
56012 17881
56106 17836
56106 17855
56170 17830
56298 17763
56404 17710
56502 17663
56502 17681
56602 17633
56666 17607
56764 17560
57206 17287
57296 17245
57296 17263
57518 17136
